Park,Date/Time,Wait Time
Universal Studios Singapore,2024-09-03 11:00:00,23
Universal Studios Singapore,2024-09-03 11:05:00,23
Universal Studios Singapore,2024-09-03 11:10:00,30
Universal Studios Singapore,2024-09-03 11:15:00,31
Universal Studios Singapore,2024-09-03 11:20:00,32
Universal Studios Singapore,2024-09-03 11:25:00,32
Universal Studios Singapore,2024-09-03 11:30:00,31
Universal Studios Singapore,2024-09-03 11:35:00,31
Universal Studios Singapore,2024-09-03 11:40:00,30
Universal Studios Singapore,2024-09-03 11:45:00,31
Universal Studios Singapore,2024-09-03 11:50:00,32
Universal Studios Singapore,2024-09-03 11:55:00,32
Universal Studios Singapore,2024-09-03 12:00:00,29
Universal Studios Singapore,2024-09-03 12:05:00,26
Universal Studios Singapore,2024-09-03 12:10:00,27
Universal Studios Singapore,2024-09-03 12:15:00,27
Universal Studios Singapore,2024-09-03 12:20:00,23
Universal Studios Singapore,2024-09-03 12:25:00,24
Universal Studios Singapore,2024-09-03 12:30:00,24
Universal Studios Singapore,2024-09-03 12:35:00,25
Universal Studios Singapore,2024-09-03 12:40:00,22
Universal Studios Singapore,2024-09-03 12:45:00,22
Universal Studios Singapore,2024-09-03 12:50:00,22
Universal Studios Singapore,2024-09-03 12:55:00,20
Universal Studios Singapore,2024-09-03 13:00:00,22
Universal Studios Singapore,2024-09-03 13:05:00,22
Universal Studios Singapore,2024-09-03 13:10:00,22
Universal Studios Singapore,2024-09-03 13:15:00,27
Universal Studios Singapore,2024-09-03 13:20:00,27
Universal Studios Singapore,2024-09-03 13:25:00,27
Universal Studios Singapore,2024-09-03 13:30:00,27
Universal Studios Singapore,2024-09-03 13:35:00,27
Universal Studios Singapore,2024-09-03 13:40:00,27
Universal Studios Singapore,2024-09-03 13:45:00,28
Universal Studios Singapore,2024-09-03 13:55:00,29
Universal Studios Singapore,2024-09-03 14:00:00,29
Universal Studios Singapore,2024-09-03 14:05:00,29
Universal Studios Singapore,2024-09-03 14:10:00,25
Universal Studios Singapore,2024-09-03 14:15:00,29
Universal Studios Singapore,2024-09-03 14:20:00,30
Universal Studios Singapore,2024-09-03 14:35:00,30
Universal Studios Singapore,2024-09-03 14:40:00,30
Universal Studios Singapore,2024-09-03 14:45:00,30
Universal Studios Singapore,2024-09-03 14:50:00,28
Universal Studios Singapore,2024-09-03 14:55:00,28
Universal Studios Singapore,2024-09-03 15:05:00,27
Universal Studios Singapore,2024-09-03 15:10:00,26
Universal Studios Singapore,2024-09-03 15:15:00,28
Universal Studios Singapore,2024-09-03 15:25:00,28
Universal Studios Singapore,2024-09-03 15:35:00,27
Universal Studios Singapore,2024-09-03 15:40:00,27
Universal Studios Singapore,2024-09-03 15:45:00,28
Universal Studios Singapore,2024-09-03 15:50:00,28
Universal Studios Singapore,2024-09-03 15:55:00,28
Universal Studios Singapore,2024-09-03 16:00:00,26
Universal Studios Singapore,2024-09-03 16:05:00,26
Universal Studios Singapore,2024-09-03 16:10:00,26
Universal Studios Singapore,2024-09-03 16:15:00,25
Universal Studios Singapore,2024-09-03 16:20:00,24
Universal Studios Singapore,2024-09-03 16:25:00,24
Universal Studios Singapore,2024-09-03 16:30:00,24
Universal Studios Singapore,2024-09-03 16:40:00,23
Universal Studios Singapore,2024-09-03 16:45:00,22
Universal Studios Singapore,2024-09-03 16:50:00,22
Universal Studios Singapore,2024-09-03 16:55:00,19
Universal Studios Singapore,2024-09-03 17:05:00,18
Universal Studios Singapore,2024-09-03 17:10:00,15
Universal Studios Singapore,2024-09-03 17:15:00,15
Universal Studios Singapore,2024-09-03 17:20:00,13
Universal Studios Singapore,2024-09-03 17:25:00,13
Universal Studios Singapore,2024-09-03 17:30:00,13
Universal Studios Singapore,2024-09-03 17:35:00,13
Universal Studios Singapore,2024-09-03 17:40:00,12
Universal Studios Singapore,2024-09-03 17:45:00,12
Universal Studios Singapore,2024-09-03 17:50:00,11
Universal Studios Singapore,2024-09-03 17:55:00,12
Universal Studios Singapore,2024-09-04 10:00:00,7
Universal Studios Singapore,2024-09-04 10:05:00,7
Universal Studios Singapore,2024-09-04 10:10:00,8
Universal Studios Singapore,2024-09-04 10:15:00,8
Universal Studios Singapore,2024-09-04 10:20:00,8
Universal Studios Singapore,2024-09-04 10:25:00,9
Universal Studios Singapore,2024-09-04 10:30:00,9
Universal Studios Singapore,2024-09-04 10:35:00,10
Universal Studios Singapore,2024-09-04 10:45:00,12
Universal Studios Singapore,2024-09-04 10:50:00,12
Universal Studios Singapore,2024-09-04 11:00:00,15
Universal Studios Singapore,2024-09-04 11:05:00,15
Universal Studios Singapore,2024-09-04 11:10:00,15
Universal Studios Singapore,2024-09-04 11:15:00,15
Universal Studios Singapore,2024-09-04 11:20:00,15
Universal Studios Singapore,2024-09-04 11:25:00,15
Universal Studios Singapore,2024-09-04 11:30:00,11
Universal Studios Singapore,2024-09-04 11:35:00,12
Universal Studios Singapore,2024-09-04 11:40:00,13
Universal Studios Singapore,2024-09-04 11:45:00,12
Universal Studios Singapore,2024-09-04 11:50:00,12
Universal Studios Singapore,2024-09-04 11:55:00,14
Universal Studios Singapore,2024-09-04 12:00:00,14
Universal Studios Singapore,2024-09-04 12:05:00,14
Universal Studios Singapore,2024-09-04 12:10:00,15
Universal Studios Singapore,2024-09-04 12:15:00,14
Universal Studios Singapore,2024-09-04 12:20:00,14
Universal Studios Singapore,2024-09-04 12:25:00,15
Universal Studios Singapore,2024-09-04 12:30:00,16
Universal Studios Singapore,2024-09-04 12:35:00,16
Universal Studios Singapore,2024-09-04 12:40:00,15
Universal Studios Singapore,2024-09-04 12:45:00,14
Universal Studios Singapore,2024-09-04 12:55:00,14
Universal Studios Singapore,2024-09-04 13:00:00,13
Universal Studios Singapore,2024-09-04 13:05:00,15
Universal Studios Singapore,2024-09-04 13:10:00,16
Universal Studios Singapore,2024-09-04 13:15:00,18
Universal Studios Singapore,2024-09-04 13:20:00,18
Universal Studios Singapore,2024-09-04 13:25:00,18
Universal Studios Singapore,2024-09-04 13:30:00,18
Universal Studios Singapore,2024-09-04 13:35:00,18
Universal Studios Singapore,2024-09-04 13:40:00,18
Universal Studios Singapore,2024-09-04 13:45:00,18
Universal Studios Singapore,2024-09-04 13:50:00,19
Universal Studios Singapore,2024-09-04 13:55:00,19
Universal Studios Singapore,2024-09-04 14:00:00,19
Universal Studios Singapore,2024-09-04 14:05:00,19
Universal Studios Singapore,2024-09-04 14:10:00,20
Universal Studios Singapore,2024-09-04 14:15:00,20
Universal Studios Singapore,2024-09-04 14:25:00,21
Universal Studios Singapore,2024-09-04 14:35:00,22
Universal Studios Singapore,2024-09-04 14:45:00,22
Universal Studios Singapore,2024-09-04 14:55:00,18
Universal Studios Singapore,2024-09-04 15:00:00,18
Universal Studios Singapore,2024-09-04 15:05:00,18
Universal Studios Singapore,2024-09-04 15:10:00,18
Universal Studios Singapore,2024-09-04 15:15:00,18
Universal Studios Singapore,2024-09-04 15:25:00,13
Universal Studios Singapore,2024-09-04 15:30:00,13
Universal Studios Singapore,2024-09-04 15:35:00,13
Universal Studios Singapore,2024-09-04 15:40:00,19
Universal Studios Singapore,2024-09-04 15:45:00,17
Universal Studios Singapore,2024-09-04 15:50:00,15
Universal Studios Singapore,2024-09-04 16:00:00,13
Universal Studios Singapore,2024-09-04 16:05:00,13
Universal Studios Singapore,2024-09-04 16:10:00,13
Universal Studios Singapore,2024-09-04 16:15:00,13
Universal Studios Singapore,2024-09-04 16:20:00,15
Universal Studios Singapore,2024-09-04 16:30:00,16
Universal Studios Singapore,2024-09-04 16:35:00,15
Universal Studios Singapore,2024-09-04 16:45:00,12
Universal Studios Singapore,2024-09-04 16:50:00,12
Universal Studios Singapore,2024-09-04 16:55:00,12
Universal Studios Singapore,2024-09-04 17:00:00,12
Universal Studios Singapore,2024-09-04 17:05:00,11
Universal Studios Singapore,2024-09-04 17:10:00,11
Universal Studios Singapore,2024-09-04 17:15:00,10
Universal Studios Singapore,2024-09-04 17:20:00,10
Universal Studios Singapore,2024-09-04 17:25:00,10
Universal Studios Singapore,2024-09-04 17:30:00,10
Universal Studios Singapore,2024-09-04 17:35:00,10
Universal Studios Singapore,2024-09-04 17:40:00,10
Universal Studios Singapore,2024-09-04 17:45:00,10
Universal Studios Singapore,2024-09-04 17:50:00,10
Universal Studios Singapore,2024-09-04 17:55:00,10
Universal Studios Singapore,2024-09-05 10:00:00,8
Universal Studios Singapore,2024-09-05 10:05:00,8
Universal Studios Singapore,2024-09-05 10:10:00,8
Universal Studios Singapore,2024-09-05 10:15:00,8
Universal Studios Singapore,2024-09-05 10:20:00,8
Universal Studios Singapore,2024-09-05 10:25:00,8
Universal Studios Singapore,2024-09-05 10:30:00,9
Universal Studios Singapore,2024-09-05 10:35:00,12
Universal Studios Singapore,2024-09-05 10:40:00,12
Universal Studios Singapore,2024-09-05 10:45:00,15
Universal Studios Singapore,2024-09-05 10:50:00,15
Universal Studios Singapore,2024-09-05 11:00:00,15
Universal Studios Singapore,2024-09-05 11:05:00,19
Universal Studios Singapore,2024-09-05 11:10:00,18
Universal Studios Singapore,2024-09-05 11:15:00,18
Universal Studios Singapore,2024-09-05 11:30:00,18
Universal Studios Singapore,2024-09-05 11:35:00,19
Universal Studios Singapore,2024-09-05 12:00:00,20
Universal Studios Singapore,2024-09-05 12:10:00,19
Universal Studios Singapore,2024-09-05 12:20:00,21
Universal Studios Singapore,2024-09-05 12:25:00,21
Universal Studios Singapore,2024-09-05 12:35:00,18
Universal Studios Singapore,2024-09-05 12:40:00,19
Universal Studios Singapore,2024-09-05 13:15:00,20
Universal Studios Singapore,2024-09-05 13:20:00,19
Universal Studios Singapore,2024-09-05 13:25:00,19
Universal Studios Singapore,2024-09-05 13:30:00,20
Universal Studios Singapore,2024-09-05 14:05:00,22
Universal Studios Singapore,2024-09-05 14:10:00,22
Universal Studios Singapore,2024-09-05 14:25:00,22
Universal Studios Singapore,2024-09-05 14:40:00,25
Universal Studios Singapore,2024-09-05 14:50:00,25
Universal Studios Singapore,2024-09-05 15:00:00,22
Universal Studios Singapore,2024-09-05 15:05:00,20
Universal Studios Singapore,2024-09-05 15:25:00,18
Universal Studios Singapore,2024-09-05 16:00:00,21
Universal Studios Singapore,2024-09-05 16:05:00,21
Universal Studios Singapore,2024-09-05 16:10:00,21
Universal Studios Singapore,2024-09-05 16:15:00,21
Universal Studios Singapore,2024-09-05 16:20:00,21
Universal Studios Singapore,2024-09-05 16:35:00,19
Universal Studios Singapore,2024-09-05 16:40:00,18
Universal Studios Singapore,2024-09-05 16:45:00,18
Universal Studios Singapore,2024-09-05 16:55:00,17
Universal Studios Singapore,2024-09-05 17:00:00,16
Universal Studios Singapore,2024-09-05 17:10:00,15
Universal Studios Singapore,2024-09-05 17:15:00,13
Universal Studios Singapore,2024-09-05 17:20:00,13
Universal Studios Singapore,2024-09-05 17:25:00,13
Universal Studios Singapore,2024-09-05 17:30:00,15
Universal Studios Singapore,2024-09-05 17:35:00,15
Universal Studios Singapore,2024-09-05 17:40:00,15
Universal Studios Singapore,2024-09-05 17:50:00,14
Universal Studios Singapore,2024-09-05 17:55:00,14
Universal Studios Singapore,2024-09-06 10:00:00,7
Universal Studios Singapore,2024-09-06 10:05:00,8
Universal Studios Singapore,2024-09-06 10:15:00,8
Universal Studios Singapore,2024-09-06 10:20:00,9
Universal Studios Singapore,2024-09-06 10:25:00,11
Universal Studios Singapore,2024-09-06 10:40:00,13
Universal Studios Singapore,2024-09-06 10:45:00,14
Universal Studios Singapore,2024-09-06 10:50:00,14
Universal Studios Singapore,2024-09-06 10:55:00,15
Universal Studios Singapore,2024-09-06 11:00:00,17
Universal Studios Singapore,2024-09-06 11:05:00,17
Universal Studios Singapore,2024-09-06 11:10:00,17
Universal Studios Singapore,2024-09-06 11:15:00,17
Universal Studios Singapore,2024-09-06 11:20:00,18
Universal Studios Singapore,2024-09-06 11:25:00,20
Universal Studios Singapore,2024-09-06 11:30:00,22
Universal Studios Singapore,2024-09-06 11:35:00,25
Universal Studios Singapore,2024-09-06 11:40:00,29
Universal Studios Singapore,2024-09-06 11:45:00,28
Universal Studios Singapore,2024-09-06 11:50:00,27
Universal Studios Singapore,2024-09-06 11:55:00,30
Universal Studios Singapore,2024-09-06 12:00:00,30
Universal Studios Singapore,2024-09-06 12:05:00,29
Universal Studios Singapore,2024-09-06 12:10:00,25
Universal Studios Singapore,2024-09-06 12:15:00,23
Universal Studios Singapore,2024-09-06 12:20:00,28
Universal Studios Singapore,2024-09-06 12:25:00,29
Universal Studios Singapore,2024-09-06 12:30:00,30
Universal Studios Singapore,2024-09-06 12:35:00,25
Universal Studios Singapore,2024-09-06 12:40:00,27
Universal Studios Singapore,2024-09-06 12:45:00,27
Universal Studios Singapore,2024-09-06 12:55:00,25
Universal Studios Singapore,2024-09-06 13:00:00,25
Universal Studios Singapore,2024-09-06 13:05:00,24
Universal Studios Singapore,2024-09-06 13:10:00,25
Universal Studios Singapore,2024-09-06 13:15:00,24
Universal Studios Singapore,2024-09-06 13:25:00,22
Universal Studios Singapore,2024-09-06 13:30:00,21
Universal Studios Singapore,2024-09-06 13:35:00,23
Universal Studios Singapore,2024-09-06 13:40:00,24
Universal Studios Singapore,2024-09-06 13:45:00,24
Universal Studios Singapore,2024-09-06 13:50:00,26
Universal Studios Singapore,2024-09-06 13:55:00,27
Universal Studios Singapore,2024-09-06 14:00:00,27
Universal Studios Singapore,2024-09-06 14:05:00,27
Universal Studios Singapore,2024-09-06 14:10:00,29
Universal Studios Singapore,2024-09-06 14:15:00,29
Universal Studios Singapore,2024-09-06 14:20:00,28
Universal Studios Singapore,2024-09-06 14:30:00,30
Universal Studios Singapore,2024-09-06 14:35:00,29
Universal Studios Singapore,2024-09-06 14:40:00,29
Universal Studios Singapore,2024-09-06 14:45:00,29
Universal Studios Singapore,2024-09-06 14:50:00,30
Universal Studios Singapore,2024-09-06 14:55:00,27
Universal Studios Singapore,2024-09-06 15:00:00,26
Universal Studios Singapore,2024-09-06 15:05:00,25
Universal Studios Singapore,2024-09-06 15:10:00,21
Universal Studios Singapore,2024-09-06 15:15:00,20
Universal Studios Singapore,2024-09-06 15:20:00,20
Universal Studios Singapore,2024-09-06 15:25:00,20
Universal Studios Singapore,2024-09-06 15:30:00,20
Universal Studios Singapore,2024-09-06 15:35:00,23
Universal Studios Singapore,2024-09-06 15:40:00,26
Universal Studios Singapore,2024-09-06 15:50:00,25
Universal Studios Singapore,2024-09-06 15:55:00,25
Universal Studios Singapore,2024-09-06 16:00:00,20
Universal Studios Singapore,2024-09-06 16:05:00,19
Universal Studios Singapore,2024-09-06 16:10:00,19
Universal Studios Singapore,2024-09-06 16:15:00,17
Universal Studios Singapore,2024-09-06 16:20:00,15
Universal Studios Singapore,2024-09-06 16:25:00,14
Universal Studios Singapore,2024-09-06 16:30:00,15
Universal Studios Singapore,2024-09-06 16:35:00,15
Universal Studios Singapore,2024-09-06 16:40:00,18
Universal Studios Singapore,2024-09-06 16:45:00,17
Universal Studios Singapore,2024-09-06 16:50:00,17
Universal Studios Singapore,2024-09-06 16:55:00,16
Universal Studios Singapore,2024-09-06 17:00:00,15
Universal Studios Singapore,2024-09-06 17:10:00,15
Universal Studios Singapore,2024-09-06 17:15:00,14
Universal Studios Singapore,2024-09-06 17:20:00,14
Universal Studios Singapore,2024-09-06 17:25:00,14
Universal Studios Singapore,2024-09-06 17:30:00,14
Universal Studios Singapore,2024-09-06 17:35:00,15
Universal Studios Singapore,2024-09-06 17:40:00,13
Universal Studios Singapore,2024-09-06 17:50:00,16
Universal Studios Singapore,2024-09-06 17:55:00,15
Universal Studios Singapore,2024-09-07 10:00:00,7
Universal Studios Singapore,2024-09-07 10:05:00,7
Universal Studios Singapore,2024-09-07 10:10:00,9
Universal Studios Singapore,2024-09-07 10:15:00,10
Universal Studios Singapore,2024-09-07 10:20:00,9
Universal Studios Singapore,2024-09-07 10:25:00,9
Universal Studios Singapore,2024-09-07 10:30:00,9
Universal Studios Singapore,2024-09-07 10:35:00,11
Universal Studios Singapore,2024-09-07 10:40:00,13
Universal Studios Singapore,2024-09-07 10:45:00,14
Universal Studios Singapore,2024-09-07 10:50:00,16
Universal Studios Singapore,2024-09-07 10:55:00,16
Universal Studios Singapore,2024-09-07 11:00:00,18
Universal Studios Singapore,2024-09-07 11:10:00,18
Universal Studios Singapore,2024-09-07 11:15:00,22
Universal Studios Singapore,2024-09-07 11:20:00,22
Universal Studios Singapore,2024-09-07 11:25:00,24
Universal Studios Singapore,2024-09-07 11:30:00,24
Universal Studios Singapore,2024-09-07 11:35:00,24
Universal Studios Singapore,2024-09-07 11:40:00,23
Universal Studios Singapore,2024-09-07 11:45:00,24
Universal Studios Singapore,2024-09-07 11:50:00,25
Universal Studios Singapore,2024-09-07 11:55:00,26
Universal Studios Singapore,2024-09-07 12:00:00,26
Universal Studios Singapore,2024-09-07 12:05:00,26
Universal Studios Singapore,2024-09-07 12:10:00,25
Universal Studios Singapore,2024-09-07 12:15:00,26
Universal Studios Singapore,2024-09-07 12:20:00,27
Universal Studios Singapore,2024-09-07 12:25:00,23
Universal Studios Singapore,2024-09-07 12:30:00,22
Universal Studios Singapore,2024-09-07 12:35:00,22
Universal Studios Singapore,2024-09-07 12:40:00,21
Universal Studios Singapore,2024-09-07 12:45:00,21
Universal Studios Singapore,2024-09-07 13:00:00,18
Universal Studios Singapore,2024-09-07 13:05:00,18
Universal Studios Singapore,2024-09-07 13:10:00,17
Universal Studios Singapore,2024-09-07 13:15:00,17
Universal Studios Singapore,2024-09-07 13:20:00,17
Universal Studios Singapore,2024-09-07 13:25:00,17
Universal Studios Singapore,2024-09-07 13:30:00,18
Universal Studios Singapore,2024-09-07 13:35:00,22
Universal Studios Singapore,2024-09-07 13:40:00,24
Universal Studios Singapore,2024-09-07 13:55:00,25
Universal Studios Singapore,2024-09-07 14:05:00,26
Universal Studios Singapore,2024-09-07 14:10:00,26
